"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"136","COVID-19 approach and reactions on lockdown and community quarantine. 

Other countries: its people and the community supported the action. 

Philippines:  mass panic buying of alcohol.",0,0,0,2,0,0,0,0,1,3
"137","Philippines pls for your own health don’t compate everything to martial law lmao other countries are in lockdown too. Kalma ng onti ",1,0,0,0,0,0,0,2,0,1
"138","",0,0,0,0,0,0,0,0,0,0
"139","Other countries: Follows the lockdown
Some other part of the Philippines: “Duterte uses COVID para magkaka martial law” <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>",1,0,0,0,0,0,0,1,0,0
"140","USA: close school/ban Europe flights
ITALY: Lockdown
DENMARK: Lockdown
CHINA: Lockdown
NORWAY: Lockdown
PHILIPPINES: Community Quarantine/ Curfew

Filipinos: ",0,0,0,1,0,0,0,1,1,1
"141","",0,0,0,0,0,0,0,0,0,0
"142","I think this should be implemented to all the provinces in the Philippines not just in Manila but this is a great step to minimizing the spread of the virus. Lockdown should be a lockdown gud<U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB> ",0,0,0,0,0,0,0,0,1,0
"143","These convos I have been having regarding lockdown/community quarantine is kinda freaking me out now, I feel like we’re on a Netflix series, deym!!! ",0,0,0,1,0,0,0,1,0,1
"144","",0,0,0,0,0,0,0,0,0,0
"145","",0,0,0,0,0,0,0,0,0,0
"146","PLEASE COOPERATE PHILIPPINES <U+0001F1F5><U+0001F1ED>

Pag sinabing lockdown, lockdown. Wag munang pumunta sa crowded places. It's a matter of defending you from COVID-19. Remember Italy and China but THEY HAVE STRONG HEALTHCARE SYSTEMS!",0,0,0,0,0,0,0,0,0,2
"147","First, ginamit yung community quarantine instead of lockdown, next curfew instead of Martial Law. Philippines ano na? <U+0001F61E><U+0001F1F5><U+0001F1ED> ",1,0,0,1,0,0,0,1,0,1
"148","Filipinos be like ""Govt is not doing anything,its too late""After the lockdown ""so how would this help in containing the virus?This is Martial Law!""ME: SO ANO PA BA TALAGA GUSTO NATIN? <U+0001F926><U+200D><U+2640><U+FE0F> in times like this,ALL WE NEED IS C.O.O.P.E.R.A.T.I.O.N. ",1,0,0,0,0,1,0,1,2,0
"149","shittttt is the release of animal crossing be delayed in the philippines because of the lockdown in manila?",0,0,0,0,0,0,0,0,1,0
"150","Only on ",0,0,0,0,0,0,0,0,0,0
"151","If you still won't cooperate and be that know-it-all sige reklamo group of people here in the Philippines, I won't be surprise if mag ma-martial law ang president bc grabe niyo ka samok. LOCKDOWN meaning BAWAL KAYONG LUMBAS GIRL just to avoid further spreading of the disease <U+0001F926><U+200D><U+2640><U+FE0F> ",2,0,1,3,1,1,1,2,2,3
"152","With the lockdown in Manila and a curfew being enforced, my parents and older relatives have shared that they’re genuinely experiencing PTSD symptoms from the days of martial law in the Philippines.",1,0,0,0,0,1,0,1,0,0
"153","",0,0,0,0,0,0,0,0,0,0
"154","",0,0,0,0,0,0,0,0,0,0
"155","",0,0,0,0,0,0,0,0,0,0
"156","What's happening in the Philippines now is basically Spider-Man PS4

Devil's Breath = Coronavirus
Mayor Osborn unleashing Sable International in response = Duterte imposing a curfew and lockdown",0,0,1,1,0,0,0,0,0,1
"157","",0,0,0,0,0,0,0,0,0,0
"158","And the Philippines is having a lockdown and curfew 

((lowkey segway to martial law imo)) ",1,0,0,0,0,0,0,1,0,0
"159","Reports that NLEX are packed of people going out of Metro Manila hours before the “lockdown” — so instead of containing the virus, this announcement actually dispersed it throughout Northern Philippines instead. 

How frustrating can this incompetence get!",0,1,0,0,0,0,0,0,2,0
"160","",0,0,0,0,0,0,0,0,0,0
"161","",0,0,0,0,0,0,0,0,0,0
"162","The impending lockdown in the Philippines: good intention, bad execution. Cities will go on lockdown yet workers based in other cities will be allowed to go to work as a basic necessity for survival. Clearly, the government will not be able to provide for the millions of workers.",2,2,1,4,1,3,1,3,3,2
"163","We have been told not to travel from both the Gov of Australia and Philippines. A monthlong lockdown in Manila starts tomorrow where all domestic flights are cancelled. 
",0,1,0,0,0,0,0,0,0,0
"164","To all my choirmates in the Philippines at sa mga mahihilig kumanta, sing like the Italians do while on lockdown. :)

God is greater than this virus! :)

",0,2,0,1,2,1,0,2,1,3
"165","We get you, Italy! Really. But unfortunately, Philippines cannot afford a lockdown. Coz by then, our politicians here will be busy pocketing the nation’s money while Filipinos will die of hunger in their homes. <U+0001F60C>",1,1,0,1,1,1,1,2,1,2
"166","",0,0,0,0,0,0,0,0,0,0
"167","THREAD: Details of what Manila’s ",0,0,0,0,0,0,0,0,0,0
"168","WATCH TO END: A line of fully-laden shopping trolleys snakes around this ",0,2,0,1,1,0,1,2,1,2
"169","What you need to know about the Metro Manila 'community quarantine' | ABS-CBN News ",0,0,0,0,0,0,0,0,0,0
"170","Please help me with my flight from Manila, Philippines. Facing lot of issues due to the lockdown ",0,0,0,0,0,0,0,0,0,0
"171","",0,0,0,0,0,0,0,0,0,0
"172","I was in the Philippines during the Marco era when a curfew was imposed under martial law but that was only from midnight to 5 a.m. 

It did not apply to us on American military bases at that time.
",1,1,0,1,0,0,0,1,0,0
"173","news in the Philippines be like<U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>
jollibee ung isa<U+0001F923>

",0,0,0,0,0,0,0,0,0,0
"174","The Philippines has announced a Metro Manila-wide ",0,0,0,0,0,0,0,0,0,0
"175","",0,0,0,0,0,0,0,0,0,0
"176","no one should ever wish for a lockdown. there are countries dealing with this pandemic without having to impose a lockdown such as Singapore. imposing a lockdown would be a result of an incompetent government such as what we have here in the Philippines.",1,1,0,2,0,2,0,0,3,0
"177","TMI: Manila lockdown will start at 12mn later and here I am risking my life on my way to the south of Philippines with few minutes gap to my return flight. Istg if I can’t return safely I’ll curse my Client non-stop. ",1,1,1,1,0,1,0,0,2,0
"178","I guess I'm NOT driving to Manila this weekend. Hope I may get a Hotel Refund.
Duterte places Metro Manila on 'lockdown' due to COVID-19 ",0,1,0,0,1,0,2,1,0,1
"179","",0,0,0,0,0,0,0,0,0,0
"180","",0,0,0,0,0,0,0,0,0,0
"181","Philippines to impose 8pm-5am curfew on non-essential travel around Metro Manila; malls asked to shut department stores, cinemas, except groceries, pharmacies; goal is to restrict movement to make lockdown effective. ",0,0,0,0,0,1,0,1,1,2
"182","You're in Metro Manila and can't go to the beach because of the upcoming lockdown? You can instead imagine the sand and the waves while listening to this! My summer track ""Laze"" is now on Spotify! 

",0,1,0,0,1,0,0,0,0,0
"183","The other day, our president announced that he would be locking down Metro Manila, to hopefully keep COVID-19 from spreading to other provinces in the Philippines. This supposed lockdown will start tomorrow, March 15. ",0,2,0,0,0,0,0,1,0,2
"184","The President of the Republic of the Philippines and the IATF said Community Quarantine. But the MMDA &amp; Metro Manila Council have another agenda which is ""Lockdown"" per se.",0,1,0,1,0,0,0,2,1,3
"185","In the Philippines: Unprecedented move threatens livelihoods and health of millions of Metro Manila residents  ",0,0,0,0,0,0,1,0,0,0
"186","",0,0,0,0,0,0,0,0,0,0
"187","With this capital wide lockdown happening here in the Philippines, I'll be working a lot to finish a bunch of projects! Will continue living to be a heritage for the next month till this whole situation goes under… ",0,1,0,0,0,0,0,2,0,2
"188","",0,0,0,0,0,0,0,0,0,0
"189","Stay safe minna... Our city is on lockdown.. Metro Manila Philippines.. stay safe..",0,0,0,0,1,0,0,1,0,1
"190","do u guys know that the metro manila (in the philippines, consists of 17 cities) is under lockdown and everyone is just at their homes to do social distancing and basically do quarantine. please pray for us <U+0001F97A><U+0001F622>",0,1,0,2,1,0,1,1,0,1
"191","Philippines' Duterte Announces 'Lockdown' of Manila to Fight Coronavirus ",1,0,0,1,0,0,0,0,1,0
"192","",0,0,0,0,0,0,0,0,0,0
